dtstart,dtend,uid,location,Matiere,Enseignants,Type,Memo,Formation
2023-09-11T07:00:00Z,2023-09-11T08:00:00Z,Cours-2644-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,Reservation de salles,FREDOUILLE Corinne,,reunion de rentree des alternants,ILSEN-CLA
2023-12-07T07:30:00Z,2023-12-07T09:00:00Z,Cours-4896-24-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 1 ARCHITECTURES CLOUD ET,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-12-07T13:30:00Z,2023-12-07T16:30:00Z,Cours-4980-24-M1-ILSEN-cla-Gr1-Index-Education,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,TP,,ILSEN-CLA
2023-12-21T16:30:00Z,2023-12-21T18:00:00Z,Cours-4984-26-M1-ILSEN-cla-Gr1-Index-Education,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,TP,,ILSEN-CLA
2024-01-10T09:00:00Z,2024-01-10T10:30:00Z,Cours-4989-29-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 1 ARCHITECTURES CLOUD ET,PUY CAZCARRA Emmanuel,Evaluation,,ILSEN-CLA
2023-09-12T06:30:00Z,2023-09-12T09:30:00Z,Cours-4992-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,CM,,ILSEN-CLA
2023-09-13T11:00:00Z,2023-09-13T12:30:00Z,Cours-4995-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,CM,,ILSEN-CLA
2023-09-19T06:30:00Z,2023-09-19T08:00:00Z,Cours-4999-13-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,CM,,ILSEN-CLA
2023-09-18T06:30:00Z,2023-09-18T08:00:00Z,Cours-5005-13-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,CM,,ILSEN-CLA
2023-10-09T06:30:00Z,2023-10-09T08:00:00Z,Cours-5005-16-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,CM,,ILSEN-CLA
2024-01-08T12:00:00Z,2024-01-08T13:30:00Z,Cours-5006-29-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 ARCHITECTURES WEB,"FREDOUILLE Corinne, JABAIAN Bassam",Evaluation,,ILSEN-CLA
2023-09-21T06:30:00Z,2023-09-21T08:00:00Z,Cours-5024-13-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 2 ARCHITECTURES WEB,JABAIAN Bassam,TP,,ILSEN-CLA
2023-11-16T07:30:00Z,2023-11-16T09:00:00Z,Cours-5024-21-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 2 ARCHITECTURES WEB,JABAIAN Bassam,TP,,ILSEN-CLA
2023-12-18T07:30:00Z,2023-12-18T10:30:00Z,Cours-5033-26-M1-ILSEN-cla-Gr1-Index-Education,Stat 3 = Info - C 135,UCE 2 ARCHITECTURES WEB,"FREDOUILLE Corinne, JABAIAN Bassam",Evaluation,Evaluation,ILSEN-CLA
2023-09-12T15:30:00Z,2023-09-12T17:00:00Z,Cours-5127-12-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-09-18T08:00:00Z,2023-09-18T09:30:00Z,Cours-5131-13-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-10-09T09:30:00Z,2023-10-09T11:00:00Z,Cours-5132-16-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-10-13T09:30:00Z,2023-10-13T11:00:00Z,Cours-5137-16-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-10-26T14:00:00Z,2023-10-26T15:30:00Z,Cours-5140-18-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-06T10:30:00Z,2023-11-06T12:00:00Z,Cours-5145-20-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-13T09:00:00Z,2023-11-13T10:30:00Z,Cours-5149-21-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-28T10:30:00Z,2023-11-28T12:00:00Z,Cours-5153-23-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-12-11T09:00:00Z,2023-12-11T10:30:00Z,Cours-5157-25-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-20T07:30:00Z,2023-11-20T09:00:00Z,Cours-5161-22-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-17T07:30:00Z,2023-11-17T09:00:00Z,Cours-5232-21-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Evaluation,,ILSEN-CLA
2024-01-12T15:00:00Z,2024-01-12T16:30:00Z,Cours-5239-29-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Evaluation,,ILSEN-CLA
2023-09-21T08:00:00Z,2023-09-21T11:00:00Z,Cours-5241-13-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,CM,,ILSEN-CLA
2023-09-15T08:00:00Z,2023-09-15T11:00:00Z,Cours-5243-12-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-12-12T13:30:00Z,2023-12-12T15:00:00Z,Cours-5246-25-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,CM,,ILSEN-CLA
2023-11-06T15:00:00Z,2023-11-06T18:00:00Z,Cours-5248-20-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-11-16T10:30:00Z,2023-11-16T12:00:00Z,Cours-5262-21-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-12-07T09:00:00Z,2023-12-07T12:00:00Z,Cours-5265-24-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-12-12T09:00:00Z,2023-12-12T12:00:00Z,Cours-5271-25-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,CM,,ILSEN-CLA
2024-01-10T12:00:00Z,2024-01-10T13:30:00Z,Cours-5278-29-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 MANAGEMENT PAR LES PROC,"MARTIN Yannis, PUY CAZCARRA Emmanuel",Evaluation,,ILSEN-CLA
2023-09-14T11:00:00Z,2023-09-14T14:00:00Z,Cours-5302-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,CM,,ILSEN-CLA
2023-09-14T14:00:00Z,2023-09-14T17:00:00Z,Cours-5304-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,CM,,ILSEN-CLA
2023-10-12T14:00:00Z,2023-10-12T17:00:00Z,Cours-5335-16-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,TD,,ILSEN-CLA
2023-09-19T08:00:00Z,2023-09-19T11:00:00Z,Cours-5336-13-M1-ILSEN-cla-Gr1-Index-Education,S2 = C 040,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,TD,,ILSEN-CLA
2023-10-16T11:00:00Z,2023-10-16T14:00:00Z,Cours-5350-17-M1-ILSEN-cla-Gr1-Index-Education,S6 = C 022,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,TD,,ILSEN-CLA
2023-11-06T07:30:00Z,2023-11-06T10:30:00Z,Cours-5352-20-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,TD,,ILSEN-CLA
2023-10-19T11:00:00Z,2023-10-19T14:00:00Z,Cours-5401-17-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 4 APPLICATION DE MSI,MARTIN Yannis,TP,,ILSEN-CLA
2023-10-10T08:00:00Z,2023-10-10T11:00:00Z,Cours-5403-16-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 4 APPLICATION DE MSI,MARTIN Yannis,TP,,ILSEN-CLA
2023-09-13T14:00:00Z,2023-09-13T15:30:00Z,Cours-5407-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,CM,,ILSEN-CLA
2023-09-20T14:00:00Z,2023-09-20T17:00:00Z,Cours-5422-13-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,CM,,ILSEN-CLA
2023-10-18T14:00:00Z,2023-10-18T15:30:00Z,Cours-5444-17-M1-ILSEN-cla-Gr1-Index-Education,Stat 2 = Info - C 136,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,TP,,ILSEN-CLA
2023-11-08T12:00:00Z,2023-11-08T15:00:00Z,Cours-5451-20-M1-ILSEN-cla-Gr1-Index-Education,Stat9 = Info - C 026,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,TP,,ILSEN-CLA
2023-11-15T12:00:00Z,2023-11-15T15:00:00Z,Cours-5451-21-M1-ILSEN-cla-Gr1-Index-Education,Stat9 = Info - C 026,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,TP,,ILSEN-CLA
